instant,season_x,yr_x,weekday_x,workingday_x,windspeed_x,casual_x,registered_x,cnt_x,season_y,yr_y,hr,weekday_y,workingday_y,windspeed_y,casual_y,registered_y,cnt_y
69,1,0,4,1,0.261877,46,577,623,1,0,23,1,1,0.1045,1,11,12
70,1,0,5,1,0.23297,247,1730,1977,1,0,0,2,1,0.1045,0,5,5
71,1,0,6,0,0.220775,724,1408,2132,1,0,1,2,1,0.1045,0,2,2
72,1,0,0,0,0.270604,982,1435,2417,1,0,2,2,1,0.1343,0,1,1
73,1,0,1,1,0.136926,359,1687,2046,1,0,4,2,1,0.0896,0,2,2
74,1,0,2,1,0.184309,289,1767,2056,1,0,5,2,1,0.1045,0,4,4
75,1,0,3,1,0.203117,321,1871,2192,1,0,6,2,1,0.1045,0,36,36
76,1,0,4,1,0.209579,424,2320,2744,1,0,7,2,1,0.1343,2,92,94
77,1,0,5,1,0.231017,884,2355,3239,1,0,8,2,1,0.1642,2,177,179
78,1,0,6,0,0.368167,1424,1693,3117,1,0,9,2,1,0.2239,2,98,100
79,1,0,0,0,0.207721,1047,1424,2471,1,0,10,2,1,0.3284,5,37,42
80,2,0,1,1,0.288783,401,1676,2077,1,0,11,2,1,0.2985,7,50,57
81,2,0,2,1,0.22575,460,2243,2703,1,0,12,2,1,0.1642,12,66,78
82,2,0,3,1,0.234261,203,1918,2121,1,0,13,2,1,0.194,18,79,97
83,2,0,4,1,0.243787,166,1699,1865,1,0,14,2,1,0.2239,9,54,63
84,2,0,5,1,0.230725,300,1910,2210,1,0,15,2,1,0.2537,17,48,65
85,2,0,6,0,0.209571,981,1515,2496,1,0,16,2,1,0.2537,15,68,83
86,2,0,0,0,0.1843,472,1221,1693,1,0,17,2,1,0.2239,10,202,212
87,2,0,1,1,0.212204,222,1806,2028,1,0,18,2,1,0.194,3,179,182
88,2,0,2,1,0.226996,317,2108,2425,1,0,19,2,1,0.1045,2,110,112
89,2,0,3,1,0.172888,168,1368,1536,1,0,20,2,1,0.1045,1,53,54
90,2,0,4,1,0.217646,179,1506,1685,1,0,21,2,1,0.0,0,48,48
91,2,0,5,1,0.258708,307,1920,2227,1,0,22,2,1,0.0896,1,34,35
92,2,0,6,0,0.197146,898,1354,2252,1,0,23,2,1,0.0896,2,9,11
93,2,0,0,0,0.182213,1651,1598,3249,1,0,0,3,1,0.0,0,6,6
94,2,0,1,1,0.385571,734,2381,3115,1,0,1,3,1,0.0896,0,6,6
95,2,0,2,1,0.388067,167,1628,1795,1,0,2,3,1,0.0896,0,2,2
96,2,0,3,1,0.263063,413,2395,2808,1,0,4,3,1,0.2239,0,2,2
97,2,0,4,1,0.162312,571,2570,3141,1,0,5,3,1,0.1642,0,3,3
98,2,0,5,1,0.226992,172,1299,1471,1,0,6,3,1,0.2239,0,33,33
99,2,0,6,0,0.133083,879,1576,2455,1,0,7,3,1,0.194,1,87,88
100,2,0,0,0,0.146767,1188,1707,2895,1,0,8,3,1,0.2985,3,192,195
101,2,0,1,1,0.324474,855,2493,3348,1,0,9,3,1,0.3284,6,109,115
102,2,0,2,1,0.274879,257,1777,2034,1,0,10,3,1,0.3284,4,53,57
103,2,0,3,1,0.250617,209,1953,2162,1,0,11,3,1,0.3284,12,34,46
104,2,0,4,1,0.1107,529,2738,3267,1,0,12,3,1,0.3284,5,74,79
105,2,0,5,0,0.226375,642,2484,3126,1,0,13,3,1,0.2985,6,65,71
106,2,0,6,0,0.340808,121,674,795,1,0,14,3,1,0.194,10,52,62
107,2,0,0,0,0.303496,1558,2186,3744,1,0,15,3,1,0.194,7,55,62
108,2,0,1,1,0.163567,669,2760,3429,1,0,16,3,1,0.0896,4,85,89
109,2,0,2,1,0.157971,409,2795,3204,1,0,17,3,1,0.194,4,186,190
110,2,0,3,1,0.241925,613,3331,3944,1,0,18,3,1,0.1343,3,166,169
111,2,0,4,1,0.325258,745,3444,4189,1,0,19,3,1,0.1045,5,127,132
112,2,0,5,1,0.219521,177,1506,1683,1,0,20,3,1,0.1642,7,82,89
113,2,0,6,0,0.230725,1462,2574,4036,1,0,21,3,1,0.194,3,40,43
114,2,0,0,0,0.192175,1710,2481,4191,1,0,22,3,1,0.1343,1,41,42
115,2,0,1,1,0.185333,773,3300,4073,1,0,23,3,1,0.0,1,18,19
116,2,0,2,1,0.3265,678,3722,4400,1,0,0,4,1,0.0,0,11,11
117,2,0,3,1,0.3122,547,3325,3872,1,0,1,4,1,0.0,0,4,4
118,2,0,4,1,0.320908,569,3489,4058,1,0,2,4,1,0.0,0,2,2
119,2,0,5,1,0.240063,878,3717,4595,1,0,4,4,1,0.0896,0,1,1
120,2,0,6,0,0.235075,1965,3347,5312,1,0,5,4,1,0.0896,0,4,4
121,2,0,0,0,0.106354,1138,2213,3351,1,0,6,4,1,0.1045,0,36,36
122,2,0,1,1,0.183454,847,3554,4401,1,0,7,4,1,0.0,0,95,95
123,2,0,2,1,0.342667,603,3848,4451,1,0,8,4,1,0.0,3,216,219
124,2,0,3,1,0.328996,255,2378,2633,1,0,9,4,1,0.0,6,116,122
125,2,0,4,1,0.295392,614,3819,4433,1,0,10,4,1,0.0,3,42,45
126,2,0,5,1,0.228246,894,3714,4608,1,0,11,4,1,0.0896,2,57,59
127,2,0,6,0,0.16045,1612,3102,4714,1,0,12,4,1,0.0,6,78,84
128,2,0,0,0,0.0746375,1401,2932,4333,1,0,13,4,1,0.1045,12,55,67
129,2,0,1,1,0.176,664,3698,4362,1,0,14,4,1,0.1642,11,59,70
130,2,0,2,1,0.115671,694,4109,4803,1,0,15,4,1,0.0,8,54,62
131,2,0,3,1,0.120642,550,3632,4182,1,0,16,4,1,0.1642,12,74,86
132,2,0,4,1,0.189667,695,4169,4864,1,0,17,4,1,0.1642,9,163,172
133,2,0,5,1,0.179725,692,3413,4105,1,0,18,4,1,0.1343,5,158,163
134,2,0,6,0,0.13495,902,2507,3409,1,0,19,4,1,0.0896,3,109,112
135,2,0,0,0,0.152979,1582,2971,4553,1,0,20,4,1,0.1642,3,66,69
136,2,0,1,1,0.126871,773,3185,3958,1,0,21,4,1,0.2239,0,48,48
137,2,0,2,1,0.277354,678,3445,4123,1,0,22,4,1,0.2836,1,51,52
138,2,0,3,1,0.201492,536,3319,3855,1,0,23,4,1,0.194,4,19,23
139,2,0,4,1,0.108213,735,3840,4575,1,0,0,5,1,0.194,4,13,17
140,2,0,5,1,0.125013,909,4008,4917,1,0,1,5,1,0.2239,2,5,7
141,2,0,6,0,0.12065,2258,3547,5805,1,0,2,5,1,0.2239,0,1,1
142,2,0,0,0,0.148008,1576,3084,4660,1,0,4,5,1,0.1343,0,1,1
143,2,0,1,1,0.233842,836,3438,4274,1,0,5,5,1,0.0,0,5,5
144,2,0,2,1,0.207092,659,3833,4492,1,0,6,5,1,0.0,8,26,34
145,2,0,3,1,0.154233,740,4238,4978,1,0,7,5,1,0.1343,8,76,84
146,2,0,4,1,0.199642,758,3919,4677,1,0,8,5,1,0.2537,20,190,210
147,2,0,5,1,0.240679,871,3808,4679,1,0,9,5,1,0.2985,9,125,134
148,2,0,6,0,0.230092,2001,2757,4758,1,0,10,5,1,0.3284,16,47,63
149,2,0,0,0,0.213938,2355,2433,4788,1,0,11,5,1,0.2239,19,48,67
150,2,0,1,0,0.131225,1549,2549,4098,1,0,12,5,1,0.2537,9,50,59
151,2,0,2,1,0.111329,673,3309,3982,1,0,13,5,1,0.2836,9,64,73
152,2,0,3,1,0.207092,513,3461,3974,1,0,14,5,1,0.2537,7,43,50
153,2,0,4,1,0.292287,736,4232,4968,1,0,15,5,1,0.1642,9,63,72
154,2,0,5,1,0.253121,898,4414,5312,1,0,16,5,1,0.1642,5,82,87
155,2,0,6,0,0.123142,1869,3473,5342,1,0,17,5,1,0.0,9,178,187
156,2,0,0,0,0.138692,1685,3221,4906,1,0,18,5,1,0.0896,7,116,123
157,2,0,1,1,0.121896,673,3875,4548,1,0,19,5,1,0.0896,3,92,95
158,2,0,2,1,0.187808,763,4070,4833,1,0,20,5,1,0.1045,1,50,51
159,2,0,3,1,0.136817,676,3725,4401,1,0,21,5,1,0.1343,0,39,39
160,2,0,4,1,0.149883,563,3352,3915,1,0,22,5,1,0.1642,2,34,36
161,2,0,5,1,0.140554,815,3771,4586,1,0,23,5,1,0.1642,1,14,15
162,2,0,6,0,0.15485,1729,3237,4966,1,0,0,6,0,0.1642,1,24,25
163,2,0,0,0,0.163567,1467,2993,4460,1,0,1,6,0,0.0896,1,15,16
164,2,0,1,1,0.30535,863,4157,5020,1,0,2,6,0,0.0,3,13,16
165,2,0,2,1,0.269283,727,4164,4891,1,0,3,6,0,0.1642,0,7,7
166,2,0,3,1,0.167912,769,4411,5180,1,0,4,6,0,0.1642,0,1,1
167,2,0,4,1,0.206471,545,3222,3767,1,0,5,6,0,0.1642,0,5,5
168,2,0,5,1,0.143029,863,3981,4844,1,0,6,6,0,0.1642,0,2,2
169,2,0,6,0,0.119408,1807,3312,5119,1,0,7,6,0,0.1045,1,8,9
170,2,0,0,0,0.102,1639,3105,4744,1,0,8,6,0,0.1045,0,15,15
171,2,0,1,1,0.155475,699,3311,4010,1,0,9,6,0,0.1045,0,20,20
172,3,0,2,1,0.171025,774,4061,4835,1,0,10,6,0,0.1642,5,56,61
173,3,0,3,1,0.172262,661,3846,4507,1,0,11,6,0,0.3881,2,60,62
174,3,0,4,1,0.238804,746,4044,4790,1,0,12,6,0,0.3582,8,90,98
175,3,0,5,1,0.222025,969,4022,4991,1,0,13,6,0,0.3284,7,95,102
176,3,0,6,0,0.209571,1782,3420,5202,1,0,14,6,0,0.4925,12,83,95
177,3,0,0,0,0.0945333,1920,3385,5305,1,0,15,6,0,0.4478,5,69,74
178,3,0,1,1,0.107588,854,3854,4708,1,0,16,6,0,0.4478,8,68,76
179,3,0,2,1,0.144283,732,3916,4648,1,0,17,6,0,0.5522,5,64,69
180,3,0,3,1,0.261821,848,4377,5225,1,0,18,6,0,0.2985,3,52,55
181,3,0,4,1,0.185312,1027,4488,5515,1,0,19,6,0,0.2537,4,26,30
182,3,0,5,1,0.102608,1246,4116,5362,1,0,20,6,0,0.2537,0,28,28
183,3,0,6,0,0.115062,2204,2915,5119,1,0,21,6,0,0.3582,2,35,37
184,3,0,0,0,0.228858,2282,2367,4649,1,0,22,6,0,0.3881,1,33,34
185,3,0,1,0,0.0814792,3065,2978,6043,1,0,23,6,0,0.4478,0,22,22
186,3,0,2,1,0.126258,1031,3634,4665,1,0,0,0,0,0.3881,1,24,25
187,3,0,3,1,0.149883,784,3845,4629,1,0,1,0,0,0.4627,0,12,12
188,3,0,4,1,0.1592,754,3838,4592,1,0,2,0,0,0.4627,0,11,11
189,3,0,5,1,0.225129,692,3348,4040,1,0,3,0,0,0.4179,0,4,4
190,3,0,6,0,0.167912,1988,3348,5336,1,0,4,0,0,0.194,0,1,1
191,3,0,0,0,0.183471,1743,3138,4881,1,0,5,0,0,0.194,0,1,1
192,3,0,1,1,0.282337,723,3363,4086,1,0,6,0,0,0.2836,0,1,1
193,3,0,2,1,0.200254,662,3596,4258,1,0,7,0,0,0.194,1,5,6
194,3,0,3,1,0.146133,748,3594,4342,1,0,8,0,0,0.2836,0,10,10
195,3,0,4,1,0.240667,888,4196,5084,1,0,9,0,0,0.5224,0,19,19
196,3,0,5,1,0.182833,1318,4220,5538,1,0,10,0,0,0.3881,0,49,49
197,3,0,6,0,0.208342,2418,3505,5923,1,0,11,0,0,0.5224,2,47,49
198,3,0,0,0,0.245033,2006,3296,5302,1,0,12,0,0,0.4478,4,79,83
199,3,0,1,1,0.215804,841,3617,4458,1,0,13,0,0,0.4478,6,69,75
200,3,0,2,1,0.1306,752,3789,4541,1,0,14,0,0,0.4627,8,64,72
201,3,0,3,1,0.113817,644,3688,4332,1,0,15,0,0,0.3582,5,77,82
202,3,0,4,1,0.222021,632,3152,3784,1,0,16,0,0,0.4478,13,79,92
203,3,0,5,1,0.1331,562,2825,3387,1,0,17,0,0,0.3881,3,59,62
204,3,0,6,0,0.131221,987,2298,3285,1,0,18,0,0,0.3284,4,44,48
205,3,0,0,0,0.169171,1050,2556,3606,1,0,19,0,0,0.3284,1,40,41
206,3,0,1,1,0.0908083,568,3272,3840,1,0,20,0,0,0.2537,0,38,38
207,3,0,2,1,0.200258,750,3840,4590,1,0,21,0,0,0.4179,1,19,20
208,3,0,3,1,0.183463,755,3901,4656,1,0,22,0,0,0.2985,5,10,15
209,3,0,4,1,0.178479,606,3784,4390,1,0,23,0,0,0.194,0,6,6
210,3,0,5,1,0.174138,670,3176,3846,1,0,0,1,1,0.2836,2,3,5
211,3,0,6,0,0.168537,1559,2916,4475,1,0,1,1,1,0.2836,1,0,1
212,3,0,0,0,0.164813,1524,2778,4302,1,0,2,1,1,0.2239,0,3,3
213,3,0,1,1,0.156717,729,3537,4266,1,0,3,1,1,0.2239,0,1,1
214,3,0,2,1,0.20585,801,4044,4845,1,0,4,1,1,0.1343,1,2,3
215,3,0,3,1,0.135583,467,3107,3574,1,0,5,1,1,0.2537,0,3,3
216,3,0,4,1,0.19715,799,3777,4576,1,0,6,1,1,0.2836,0,31,31
217,3,0,5,1,0.184696,1023,3843,4866,1,0,7,1,1,0.2239,2,75,77
218,3,0,6,0,0.22825,1521,2773,4294,1,0,8,1,1,0.2836,4,184,188
219,3,0,0,0,0.201487,1298,2487,3785,1,0,9,1,1,0.2537,2,92,94
220,3,0,1,1,0.192175,846,3480,4326,1,0,10,1,1,0.2985,0,31,31
221,3,0,2,1,0.151121,907,3695,4602,1,0,11,1,1,0.2836,2,28,30
222,3,0,3,1,0.200258,884,3896,4780,1,0,12,1,1,0.2836,5,47,52
223,3,0,4,1,0.164796,812,3980,4792,1,0,13,1,1,0.2836,4,50,54
224,3,0,5,1,0.125621,1051,3854,4905,1,0,14,1,1,0.2239,0,47,47
225,3,0,6,0,0.211454,1504,2646,4150,1,0,15,1,1,0.2239,2,43,45
226,3,0,0,0,0.222633,1338,2482,3820,1,0,16,1,1,0.1343,4,70,74
227,3,0,1,1,0.208954,775,3563,4338,1,0,17,1,1,0.1045,4,174,178
228,3,0,2,1,0.236329,721,4004,4725,1,0,18,1,1,0.2239,1,154,155
229,3,0,3,1,0.143667,668,4026,4694,1,0,19,1,1,0.1642,3,92,95
230,3,0,4,1,0.233208,639,3166,3805,1,0,20,1,1,0.1642,1,73,74
231,3,0,5,1,0.139308,797,3356,4153,1,0,21,1,1,0.194,1,37,38
232,3,0,6,0,0.104467,1914,3277,5191,1,0,22,1,1,0.1642,2,22,24
233,3,0,0,0,0.248754,1249,2624,3873,1,0,23,1,1,0.1642,0,18,18
234,3,0,1,1,0.27675,833,3925,4758,1,0,0,2,1,0.1045,2,10,12
235,3,0,2,1,0.146763,1281,4614,5895,1,0,1,2,1,0.1642,0,3,3
236,3,0,3,1,0.253108,949,4181,5130,1,0,2,2,1,0.194,0,3,3
237,3,0,4,1,0.210833,435,3107,3542,1,0,5,2,1,0.1343,0,6,6
238,3,0,5,1,0.0839625,768,3893,4661,1,0,6,2,1,0.1343,0,27,27
239,3,0,6,0,0.375617,226,889,1115,1,0,7,2,1,0.0,2,97,99
240,3,0,0,0,0.304659,1415,2919,4334,1,0,8,2,1,0.0896,3,214,217
241,3,0,1,1,0.159825,729,3905,4634,1,0,9,2,1,0.1642,3,127,130
242,3,0,2,1,0.125008,775,4429,5204,1,0,10,2,1,0.1642,3,51,54
243,3,0,3,1,0.0833333,688,4370,5058,1,0,11,2,1,0.1343,4,31,35
244,3,0,4,1,0.141796,783,4332,5115,1,0,12,2,1,0.1045,2,55,57
245,3,0,5,1,0.139929,875,3852,4727,1,0,13,2,1,0.0896,6,46,52
246,3,0,6,0,0.185325,1935,2549,4484,1,0,14,2,1,0.0896,3,60,63
247,3,0,0,0,0.206467,2521,2419,4940,1,0,15,2,1,0.0896,2,45,47
248,3,0,1,0,0.212696,1236,2115,3351,1,0,16,2,1,0.2239,4,72,76
249,3,0,2,1,0.343943,204,2506,2710,1,0,17,2,1,0.2239,6,130,136
250,3,0,3,1,0.0970208,118,1878,1996,1,0,18,2,1,0.1045,1,94,95
251,3,0,4,1,0.192748,153,1689,1842,1,0,19,2,1,0.0,0,51,51
252,3,0,5,1,0.124379,417,3127,3544,1,0,20,2,1,0.194,0,32,32
253,3,0,6,0,0.153608,1750,3595,5345,1,0,21,2,1,0.0896,0,20,20
254,3,0,0,0,0.115054,1633,3413,5046,1,0,22,2,1,0.1045,1,28,29
255,3,0,1,1,0.088913,690,4023,4713,1,0,23,2,1,0.0896,1,18,19
256,3,0,2,1,0.141804,701,4062,4763,1,0,0,3,1,0.0896,0,7,7
257,3,0,3,1,0.1673,647,4138,4785,1,0,1,3,1,0.1045,0,6,6
258,3,0,4,1,0.271146,428,3231,3659,1,0,2,3,1,0.1343,0,1,1
259,3,0,5,1,0.164183,742,4018,4760,1,0,5,3,1,0.1642,0,5,5
260,3,0,6,0,0.189675,1434,3077,4511,1,0,6,3,1,0.1343,0,16,16
261,3,0,0,0,0.178483,1353,2921,4274,1,0,7,3,1,0.1343,0,54,54
262,3,0,1,1,0.151742,691,3848,4539,1,0,8,3,1,0.1642,3,125,128
263,3,0,2,1,0.134954,438,3203,3641,1,0,9,3,1,0.3284,3,78,81
264,3,0,3,1,0.0964042,539,3813,4352,1,0,10,3,1,0.2239,0,39,39
265,3,0,4,1,0.128125,555,4240,4795,1,0,11,3,1,0.3881,3,32,35
266,4,0,5,1,0.0783667,258,2137,2395,1,0,12,3,1,0.5821,3,52,55
267,4,0,6,0,0.0783833,1776,3647,5423,1,0,13,3,1,0.3582,0,49,49
268,4,0,0,0,0.0503792,1544,3466,5010,1,0,14,3,1,0.3284,0,44,44
269,4,0,1,1,0.1107,684,3946,4630,1,0,15,3,1,0.4179,1,48,49
270,4,0,2,1,0.118171,477,3643,4120,1,0,16,3,1,0.3284,5,63,68
271,4,0,3,1,0.148629,480,3427,3907,1,0,17,3,1,0.3582,0,139,139
272,4,0,4,1,0.172883,653,4186,4839,1,0,18,3,1,0.5224,2,135,137
273,4,0,5,1,0.206475,830,4372,5202,1,0,19,3,1,0.4179,1,82,83
274,4,0,6,0,0.292296,480,1949,2429,1,0,20,3,1,0.3284,2,54,56
275,4,0,0,0,0.222013,616,2302,2918,1,0,21,3,1,0.3284,0,57,57
276,4,0,1,1,0.0833458,330,3240,3570,1,0,22,3,1,0.4478,1,32,33
277,4,0,2,1,0.205854,486,3970,4456,1,0,23,3,1,0.4179,1,19,20
278,4,0,3,1,0.17725,559,4267,4826,1,0,0,4,1,0.2836,1,6,7
279,4,0,4,1,0.134954,639,4126,4765,1,0,1,4,1,0.2836,0,2,2
280,4,0,5,1,0.0223917,949,4036,4985,1,0,2,4,1,0.3582,0,2,2
281,4,0,6,0,0.0454042,2235,3174,5409,1,0,3,4,1,0.3284,0,3,3
282,4,0,0,0,0.06345,2397,3114,5511,1,0,4,4,1,0.2537,0,4,4
283,4,0,1,0,0.0423042,1514,3603,5117,1,0,5,4,1,0.2985,0,3,3
284,4,0,2,1,0.143042,667,3896,4563,1,0,6,4,1,0.1343,0,28,28
285,4,0,3,1,0.24815,217,2199,2416,1,0,7,4,1,0.1343,0,72,72
286,4,0,4,1,0.141787,290,2623,2913,1,0,8,4,1,0.194,5,197,202
287,4,0,5,1,0.223883,529,3115,3644,1,0,9,4,1,0.3284,2,137,139
288,4,0,6,0,0.258083,1899,3318,5217,1,0,10,4,1,0.3582,2,36,38
289,4,0,0,0,0.281717,1748,3293,5041,1,0,11,4,1,0.4478,4,33,37
290,4,0,1,1,0.175379,713,3857,4570,1,0,12,4,1,0.4179,3,49,52
291,4,0,2,1,0.110087,637,4111,4748,1,0,13,4,1,0.4478,2,81,83
292,4,0,3,1,0.243339,254,2170,2424,1,0,14,4,1,0.3881,3,39,42
293,4,0,4,1,0.422275,471,3724,4195,1,0,15,4,1,0.2985,5,55,60
294,4,0,5,1,0.221396,676,3628,4304,1,0,16,4,1,0.3582,2,76,78
295,4,0,6,0,0.0926667,1499,2809,4308,1,0,17,4,1,0.2836,4,158,162
296,4,0,0,0,0.0995125,1619,2762,4381,1,0,18,4,1,0.3284,3,141,144
297,4,0,1,1,0.118792,699,3488,4187,1,0,19,4,1,0.2537,1,98,99
298,4,0,2,1,0.166658,695,3992,4687,1,0,20,4,1,0.2239,0,64,64
299,4,0,3,1,0.148642,404,3490,3894,1,0,21,4,1,0.2985,0,40,40
300,4,0,4,1,0.197763,240,2419,2659,1,0,22,4,1,0.3284,0,30,30
301,4,0,5,1,0.229479,456,3291,3747,1,0,23,4,1,0.194,1,14,15
302,4,0,6,0,0.351371,57,570,627,1,0,0,5,1,0.194,0,14,14
303,4,0,0,0,0.176617,885,2446,3331,1,0,1,5,1,0.1642,0,5,5
304,4,0,1,1,0.10635,362,3307,3669,1,0,2,5,1,0.1343,0,1,1
305,4,0,2,1,0.135571,410,3658,4068,1,0,3,5,1,0.1045,0,1,1
306,4,0,3,1,0.0820917,370,3816,4186,1,0,5,5,1,0.0896,0,8,8
307,4,0,4,1,0.136817,318,3656,3974,1,0,6,5,1,0.0,0,17,17
308,4,0,5,1,0.271779,470,3576,4046,1,0,7,5,1,0.1642,0,70,70
309,4,0,6,0,0.189062,1156,2770,3926,1,0,8,5,1,0.0,2,156,158
310,4,0,0,0,0.0920542,952,2697,3649,1,0,9,5,1,0.1343,0,117,117
311,4,0,1,1,0.057225,373,3662,4035,1,0,10,5,1,0.194,4,40,44
312,4,0,2,1,0.0690375,376,3829,4205,1,0,11,5,1,0.2836,6,47,53
313,4,0,3,1,0.0621958,305,3804,4109,1,0,12,5,1,0.2537,2,59,61
